"Day","Items","Note","Amount"
"70","Retail","Revenue - Retail Sales New York - Mouthwash","7424"
"70","Retail","Revenue - Retail Sales New York - Body Wash","12507"
"70","Retail","Revenue - Retail Sales New York - Shampoo","8992"
"70","Retail","Revenue - Retail Sales Chicago - Mouthwash","3162"
"70","Retail","Revenue - Retail Sales Chicago - Body Wash","5983"
"70","Retail","Revenue - Retail Sales Chicago - Shampoo","4712"
"70","Retail","Revenue - Retail Sales Washington, D.C. - Mouthwash","1020"
"70","Retail","Revenue - Retail Sales Washington, D.C. - Body Wash","1568"
"70","Retail","Revenue - Retail Sales Washington, D.C. - Shampoo","1426"
"70","Retail","Revenue - Retail Sales Miami - Mouthwash","512"
"70","Retail","Revenue - Retail Sales Miami - Body Wash","480"
"70","Retail","Revenue - Retail Sales Miami - Shampoo","527"
"70","Retail","Revenue - Retail Sales San Francisco - Mouthwash","5040"
"70","Retail","Revenue - Retail Sales San Francisco - Body Wash","6450"
"70","Retail","Revenue - Retail Sales San Francisco - Shampoo","5704"
"70","Services","Revenue - Service Sales Order ID: 9744","249000"
"70","Overflow Expense - Retail","Cash Payment - Overflow Fee Los Angeles","(1120)"
"70","Rental Expense","Cash Payment - RentalLos Angeles","(2160)"
"70","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","(516)"
"70","Rental Expense","Cash Payment - RentalDetroit","(1800)"
"70","Rental Expense","Cash Payment - RentalNew York","(5360)"
"70","Rental Expense","Cash Payment - RentalChicago","(2960)"
"70","Rental Expense","Cash Payment - RentalWashington, D.C.","(4880)"
"70","Overflow Expense - Retail","Cash Payment - Overflow Fee Miami","(310)"
"70","Rental Expense","Cash Payment - RentalMiami","(2240)"
"70","Overflow Expense - Retail","Cash Payment - Overflow Fee San Francisco","(354)"
"70","Rental Expense","Cash Payment - RentalSan Francisco","(4480)"
"69","Wholesales (B2B)","Revenue - B2B SO ID: 9738","25460"
"69","Wholesales (B2B)","Revenue - B2B SO ID: 9731","23580"
"69","Wholesales (B2B)","Revenue - B2B SO ID: 9707","44437"
"69","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","(1000)"
"69","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","(1000)"
"69","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","(1000)"
"69","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","(1000)"
"69","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","(1000)"
"69","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","(1000)"
"69","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","(1000)"
"69","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","(1000)"
"69","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","(1000)"
"69","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","(1000)"
"69","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","(1000)"
"69","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","(1000)"
"69","Marketing Expense","Cash Payment - Marketing - Miami - Mouthwash","(1000)"
"69","Marketing Expense","Cash Payment - Marketing - Miami - Body Wash","(1000)"
"69","Marketing Expense","Cash Payment - Marketing - Miami - Shampoo","(1000)"
"69","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","(1000)"
"69","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","(1000)"
"69","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","(1000)"
"69","Salary Expense","Cash Payment - Salary Expense","(23613)"
"69","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 10414","(200)"
"69","Sales E Commerce","Revenue - E-Commerce Sales","8986"
"69","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 10581","(300)"
"69","Sales E Commerce","Revenue - E-Commerce Sales","14893"
"69","Retail","Revenue - Retail Sales Los Angeles - Mouthwash","7648"
"69","Retail","Revenue - Retail Sales Los Angeles - Body Wash","8288"
"69","Retail","Revenue - Retail Sales Los Angeles - Shampoo","11104"
"69","Retail","Revenue - Retail Sales New York - Mouthwash","7328"
"69","Retail","Revenue - Retail Sales New York - Body Wash","11979"
"69","Retail","Revenue - Retail Sales New York - Shampoo","8384"
"69","Retail","Revenue - Retail Sales Chicago - Mouthwash","3196"
"69","Retail","Revenue - Retail Sales Chicago - Body Wash","5208"
"69","Retail","Revenue - Retail Sales Chicago - Shampoo","5084"
"69","Retail","Revenue - Retail Sales Washington, D.C. - Mouthwash","1110"
"69","Retail","Revenue - Retail Sales Washington, D.C. - Body Wash","1344"
"69","Retail","Revenue - Retail Sales Washington, D.C. - Shampoo","1364"
"69","Retail","Revenue - Retail Sales Miami - Mouthwash","512"
"69","Retail","Revenue - Retail Sales Miami - Body Wash","512"
"69","Retail","Revenue - Retail Sales Miami - Shampoo","496"
"69","Retail","Revenue - Retail Sales San Francisco - Mouthwash","4380"
"69","Retail","Revenue - Retail Sales San Francisco - Body Wash","7170"
"69","Retail","Revenue - Retail Sales San Francisco - Shampoo","6355"
"69","Rental Expense","Cash Payment - RentalLos Angeles","(2160)"
"69","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","(584)"
"69","Rental Expense","Cash Payment - RentalDetroit","(1800)"
"69","Rental Expense","Cash Payment - RentalNew York","(5360)"
"69","Rental Expense","Cash Payment - RentalChicago","(2960)"
"69","Rental Expense","Cash Payment - RentalWashington, D.C.","(4880)"
"69","Overflow Expense - Retail","Cash Payment - Overflow Fee Miami","(310)"
"69","Rental Expense","Cash Payment - RentalMiami","(2240)"
"69","Overflow Expense - Retail","Cash Payment - Overflow Fee San Francisco","(472)"
"69","Rental Expense","Cash Payment - RentalSan Francisco","(4480)"
"68","Wholesales (B2B)","Revenue - B2B SO ID: 9895","130338"
"68","Wholesales (B2B)","Revenue - B2B SO ID: 9891","129168"
"68","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","(1000)"
"68","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","(1000)"
"68","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","(1000)"
"68","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","(1000)"
"68","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","(1000)"
